price,score,name,link
159.00,94,Château La Nerthe Clos de Beauvenir Châteauneuf-du-Pape Blanc 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-la-nerthe-clos-de-beauvenir-ch%C3%A2teauneuf-du-pape-blanc-2016-302802
23.95,92,Tarima Hill Monastrell 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/tarima-hill-monastrell-2015-310169
73.00,94,Manzone Gramolere Barolo 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/manzone-gramolere-barolo-2013-318105
78.00,93,Billaud-Simon Montée de Tonnerre Chablis 1er Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/billaud-simon-mont%C3%A9e-de-tonnerre-chablis-1er-cru-2017-325241
11.75,91,La Guita,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/la-guita-337022
21.75,94,Lustau East India Solera Sherry,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/lustau-east-india-solera-sherry-342931
23.95,94,Nino Franco Brut Valdobbiadene Prosecco Superiore,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/nino-franco-brut-valdobbiadene-prosecco-superiore-349662
34.95,92,Sue-Ann Staff The Chestnut Tree Cabernet Franc 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/sue-ann-staff-the-chestnut-tree-cabernet-franc-2015-352393
20.95,95,Dandelion Vineyards Lioness of McLaren Vale Shiraz 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/dandelion-vineyards-lioness-of-mclaren-vale-shiraz-2017-357475
15.95,93,Colomé Torrontés 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/colom%C3%A9-torront%C3%A9s-2019-357913
17.95,90,Hugel Gentil 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/hugel-gentil-2017-367284
16.75,90,Morandé Gran Reserva Carmenère 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/morand%C3%A9-gran-reserva-carmen%C3%A8re-2017-371112
89.00,95,L'Ecole No. 41 Perigee 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/lecole-no-41-perigee-2014-374413
80.00,95,Bien Nacido Vineyards Chardonnay 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/bien-nacido-vineyards-chardonnay-2018-376764
92.00,95,Pintia 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/pintia-2015-376806
22.95,92,Torres Cordillera de los Andes Reserva Especial Carmenère 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/torres-cordillera-de-los-andes-reserva-especial-carmen%C3%A8re-2016-389692
146.00,96,William Fèvre Bougros Côte Bouguerots Chablis Grand Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/william-f%C3%A8vre-bougros-c%C3%B4te-bouguerots-chablis-grand-cru-2017-391268
29.95,95,Coppola Director's Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/coppola-directors-chardonnay-2017-396291
100.00,95,Louis M. Martini Monte Rosso Vineyard Cabernet Sauvignon 2012,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/louis-m-martini-monte-rosso-vineyard-cabernet-sauvignon-2012-407114
96.00,97,Betz Family Winery Père de Famille Cabernet Sauvignon 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/betz-family-winery-p%C3%A8re-de-famille-cabernet-sauvignon-2016-407312
21.95,91,Meiomi Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/meiomi-chardonnay-2017-410712
19.95,90,Basilica Cafaggio Single Estate Chianti Classico 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/basilica-cafaggio-single-estate-chianti-classico-2015-421107
17.95,92,Quinta da Rede Reserva 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/quinta-da-rede-reserva-2015-431742
14.95,90,Williams & Humbert Walnut Brown Medium Sweet Sherry,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/williams-humbert-walnut-brown-medium-sweet-sherry-437467
22.95,94,Balbás Crianza 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/balb%C3%A1s-crianza-2013-437673
46.00,95,Domaine Ernest Burn Clos Saint Imer La Chapelle Goldert Pinot Gris 2010,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-ernest-burn-clos-saint-imer-la-chapelle-goldert-pinot-gris-2010-441857
19.95,89,Fontanafredda Eremo Langhe Rosso 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/fontanafredda-eremo-langhe-rosso-2016-454041
33.25,95,Zuccardi Concreto Malbec 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/zuccardi-concreto-malbec-2017-455774
27.95,91,Anthonij Rupert Optima 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/anthonij-rupert-optima-2013-455915
415.00,100,Heitz Martha's Vineyard Cabernet Sauvignon 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/heitz-marthas-vineyard-cabernet-sauvignon-2014-456855
80.00,96,Mayacamas Chardonnay 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/mayacamas-chardonnay-2018-457556
709.00,98,Dom Pérignon Brut Champagne 2008,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/dom-p%C3%A9rignon-brut-champagne-2008-461145
54.00,94,Tolaini Montebello Gran Selezione Chianti Classico 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/tolaini-montebello-gran-selezione-chianti-classico-2015-466607
132.00,95,Paul Hobbs Hyde Vineyard Pinot Noir 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/paul-hobbs-hyde-vineyard-pinot-noir-2017-467357
